No,Organization,Campaign,SMARTIE_1,SMARTIE_2,SMARTIE_3,SMARTIE_4,SMARTIE_5,Leaders,Reach,Conversation,Activation,Events,Partnerships,Zip Codes,Neighborhoods,Precincts,Demo_Race,Demo_Age,Demo_Propensity,Neighborhood Team,,,
1,Back to Eden,BVET,"Back to Eden will host a minimum of 2 workshops per month for 4 months (8 in total) with an estimated total reach of 100 Black residents in zip codes 77016, 77093, 77022, 77078, and 77093 through existing relationships with apartment complexes with the intention of educating existing voters and registering new voters by October 24, 2022.","By September 11, 2022, Back to Eden will have identified and certified at least 10 Black workshop participants to become VDVRs from their focus zip codes of 77016, 77093, 77022, 77078, and 77093.","Back to Eden anticipates each VDVR will reach 100 Black voters with voter education materials (1,000 total reached) with the intention of completing voter pledge cards in zip codes 77016, 77093, 77022, 77078, and 77093, by November 8, 2022.",,,10,"1,100",55,28,8,,"77016, 77093, 77022, 77078, 77093",,,Black Voters,,,"Northeast Houston, Northside/Independence Heights/Acres Homes",,,
2,Bridges To Empowerment,BVET,Bridges to Empowerment will decrease the amount of mail-in ballots and applications being rejected in Fort Bend County by offering door-to-door support by attempting 400 doors (canvassing) in zip codes 77489 and 77087.,Bridges to Empowerment will decrease the amount of mail in ballots and applications being rejected in Fort Bend County by offering in-person support through multiple events in partnership with churches to educate 400 voters on successfully completing mail-in ballots in zip codes 77489 and 77087.,Bridges to Empowerment will engage 100 new and disengaged Black voters through their Block Ambassador Program and will ask participants to commit to vote by completing a pledge card in zip codes 77489 and 77087.,Bridges to Empowerment will build capacity and develop leaders with their staff (2 salaried positions) and a paid volunteer (1 fellow) by offering campaign specific training opportunities. Staff and paid volunteers will be expected to bring in 5 new members each month to build their base.,,3,900,45,23,,,"77489, 77087",,,Black Voters,,,"Greater East End/North Shore/Pasadena, Southwest Houston/Fort Bend","East End, Northshore, Pasadena","Southwest Houston, Fort Bend",
3,Center for Civic & Public Policy Improvement (CCPPI),BVET,"CCPPI will identify and develop at least 6 leaders, comprised of community members and students, through local civic clubs, super neighborhood groups, and local public high schools in the Third Ward, Acres Homes, and Sunnyside neighborhoods to become election educators/ambassadors, by September 11, 2022. Leaders will start with their VDVR certification and continue outreach to Black voters through GOTV events with the intention of collecting at least 75 voter pledge cards by October 24, 2022. Community leaders, with the support of CCPPI staff, will identify and attend at least four events per neighborhood, per month.","CCPPI will work with Community Health Worker (CHW) programs in order to support 5 CHWs to become community leaders starting with VDVR certification and continuing outreach to Black, medically underserved voters by September 11, 2022. Leaders will continue GOTV events with the intention of collecting at least 75 voter pledge cards by October 24, 2022.","CCPPI will collaborate with Black Voter Engagement partners, such as LINK Houston and the Houston Area Urban League, to create at least three voter outreach community events in predominantly Black neighborhoods to encourage residents to vote/provide tools to vote in their area in order to build community power to encourage accessing the ballot box in Houston-area Black communities.",,,11,825,825,825,3,,,"Third Ward, Acres Homes, Sunnyside",,Black Voters,,,"Third Ward/South Union/Sunnyside, Northeast Houston","Third Ward, South Union, Sunnyside",Northeast Houston,
4,East Harris County Empowerment Council,BVET,"East Harris County Empowerment Council will have 400 conversations with Black voters for integrated voter engagement through 5 engagement events by giving out voter resource guides to include voter education and election engagement opportunities in the areas of Crosby, Sheldon, North Shore, Channelview, Galena Park, and Jacinto City between August and October 2022.",ECHEC will host 5 High School events to engage approximately 50 Black voters of all ages at each event (200 voters total) to build voter awareness and engagement with the intention of asking voters to pledge to vote between August and October 2022.,"EHCEC will follow-up with all pledged voters from previous events and conversations with a final text message to remind voters about early voting, voting in-person, and inform about transportation assistance (at least 50 voters for transportation specifically) between October 24 and November 8, 2022.",,,,"8,200",400,200,8,,,"Crosby, Sheldon, Northshore, Channelview, Galena Park, Jacinto City",,Black Voters,,,N/A - but could offer to put them in Second Ward/North Shore/Pasadena team,"East End, Northshore, Pasadena",,
5,Engaged Voters,BVET,"By July 12, 2022, recruit and develop young leaders by hiring a team of 6 who are passionate about seeing a change in their community and willing to learn, and who are a Gen Z or Millennial resident who resides in South Houston, to help expand the educational capacity of the organization.","Host or participate in at least 10 Voter Educational events (virtual and in-person) by October 24, 2022 at local, predominantly black high schools, churches, and/or youth organizations to increase trust in, and knowledge of, the civic engagement process with the goal of reaching 20 individuals at each even","Register at least 100 new, first-time black voters, or complete voter pledge cards between the age groups of 18-35 at before October 11, 2022 and follow-up with those individuals either by phone or text between October 20, 2022 and November 11, 2022.",,,6,200,10,100,10,,,South Houston,,Black Voters,18-35,,Third Ward/South Union/Sunnyside,"Third Ward, South Union, Sunnyside",,
6,Grassroots Leadership,BVET,"By October 24, 2022, Grassroot Leadership will host 4 community events with an anticipated reach of 75 Black voters per event (300 total reaches) in Northside and 5th Ward neighborhoods (77020, 77026, 77028, 77016) to do with general election messaging and get respondents to commit to voting (completing vote pledge cards).","By October 24, 2022, 6 neighborhood canvassing events in and plan to knock on approximately 100 doors (apartment complex) per event (600 total reaches) in Northside and 5th Ward neighborhoods (77020, 77026, 77028, 77016) to do with general election messaging and get respondents to commit to voting (completing vote pledge cards).","Grassroot Leadership will follow-up with 95% Black voters who completed a voting pledge card between October 24, 2022 and November 8, 2022 via phone-banking.",,,,900,45,23,10,,"77020, 77026, 77028, 77016",Northside and 5th Ward,,Black Voters,,,"Northeast Houston, Northside/Independence Heights/Acres Homes","Northside, Independence Heights, Acre Homes",Northeast Houston,
7,Green House International Church,BVET,"By July 10, 2020, Green House International Church will develop 5 community leaders of color with at least 4 hours of additional training to become Community Captain and will create an integrated voter engagement initiative including phone banking and canvassing.","Between July 15, 2022 and October 24, 2022, Green House International Church will reach out to 700 Black Voters in the Greenspoint neighborhood using phone-banking (reaching out to known contacts first) to raise awareness about voter education and motivate respondents to complete a pledge to vote and attend an upcoming event.","Between July 15, 2022 and October 24, 2022, Green House International Church will reach out to 500 Black Voters in the Greenspoint neighborhood door-to-door canvassing (reaching out to known contacts first) to raise awareness about voter education and motivate respondents to complete a pledge to vote and attend an upcoming event.","Host 4 voter mobilization events: Juneteenth Voter Education (June), “I’m Woke because I Vote” Mixer (July), Get Out to Vote Gospel Concert (August), September Event with CJ involved Black voters from the Greenspoint neighborhood with a total turnout of approximately 1,500 Black voters before October 24, 2022.",,5,"2,700",135,68,4,,,Greenspoint,,Black Voters,,,Aldine and Greenspoint,"Aldine, Greenspoint",,
8,Gulf Coast Leadership Council,BVET,"GCLC will engage with 50 community leaders who will complete a total of 250 volunteer hours in Northeast and Southeast Harris County and Spring Branch by November 8, 2022 and at least 40% of the volunteers will be Black. These staff and volunteers will knock on 10,000 doors in zip codes 77016, 77020, 77026, 77028, 77004, 77048 in Harris County; and 77583 and 77545 in Fort Bend County (precincts 2134,2003,2104) and generate an estimated 2,500 conversations.","GCLC will re-engage with the 10,000 original contacts by conducting a minimum of 2 text-banking events and 2 phone-banking events prior to October 24, 2022 with general election messaging and get respondents to commit to voting. A third round of phone and text-banking will occur between October 24 and November 8, 2022 reaching back out to “committed” clients/members with specific voting messaging for either early voting or election day voting.","GCLC will work through existing and new relationships with congregations, schools and community organizations in Northeast and Southeast Harris County and Spring Branch to organize/participate in a total of 15 already scheduled in person events: tabling related to voting (civic academies related to teaching about key issues and organizing training to develop new leaders) with an anticipated reach of 300 people.","GCLC will train leaders of The Metropolitan Organization and other HIA collaborators to hold two, large non-partisan, “Candidate Accountability Sessions” in Latinx/Black communities with candidates in the general election. These two meetings with candidates will engage and educate at least 150 residents of Black communities and the candidates about issues identified by residents of those communities.",,60,"10,450","2,500","1,250",23,,"77016, 77020, 77026, 77028, 77004, 77048, 77583, 77545 ","Northeast, Southeast, Spring Branch, Fort Bend",,Black Voters,,,"Northeast Houston, Third Ward/South Union/Sunnyside","Third Ward, South Union, Sunnyside",Northeast Houston,
9,Houston Area Urban League (HAUL),BVET,,,,,,,,,,,,,,,Black Voters,,,N/A,,,
10,Houston Justice,BVET,"Houston Justice will develop community leaders by building a volunteer team of 10 volunteer case mgrs before September 30, 2022 with at least 5 people of color to reach out to an estimated 7,400 Black voters through the work of the Texas ID Connect Program including distributing flyers, information, posters, etc.","Houston Justice will develop community leaders by building a team of 100 volunteers by October 24, 2022 with at least 50% being people of color, to scale up our voter engagement program, #ProjectOrange. Volunteers will reach an estimated 2,000 Black voters and will have 1:1 conversations related to civic participation, inviting new volunteers to events, sharing their stories, making phone calls and sending texts to voters.","Houston Justice will develop community leaders by building a volunteer phone/text-bank team of 20 volunteers, with at least 50% being people of color and at least 5 bilingual Spanish-speakers so that we can communicate with voters in our districts. We hope to reach 10,000 Black voters with two waves of phone-banking and two-waves of text-messaging with at least one wave happening between October 24, 2022 and November 8, 2022. Voter lists will be a combination of known contacts as well as voters from House District 147 (3rd Ward and Sunnyside neighborhoods) and the 18th congressional district (Greenspoint neighborhood).",,,130,"19,500",975,488,,,,"3rd Ward, Sunnyside, Greenspoint",,Black Voters,,,"Aldine and Greenspoint, Third Ward/South Union/Sunnyside","Third Ward, South Union, Sunnyside","Aldine, Greenspoint",
